Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),LSRAM (20K),Chip Globals
gantry_brk3_ret_if_0/clk_16khz_div/Primitives,24,17,0,0,0,0,0,1
gantry_brk3_ret_if_0/pwm_0/Primitives,2,0,0,0,0,0,0,0
gantry_brk3_ret_if_0/pwm_0/i_brk_deadband/Primitives,14,11,0,0,0,0,0,0
gantry_brk3_ret_if_0/pwm_0/i_brk_filt/Primitives,40,30,0,0,0,0,0,0
gantry_brk3_ret_if_0/pwm_0/i_brk_pwm/Primitives,35,13,0,0,0,0,0,0
gantry_mot_if_0/Primitives,300,278,0,0,0,0,0,0
gantry_mot_if_0/clk_16khz_div/Primitives,24,17,0,0,0,0,0,1
gantry_mot_if_0/pwm_0/gen_dead_band_col_pwm.1.i_mot_deadband/Primitives,14,11,0,0,0,0,0,0
gantry_mot_if_0/pwm_0/gen_dead_band_col_pwm.2.i_mot_deadband/Primitives,14,11,0,0,0,0,0,0
gantry_mot_if_0/pwm_0/gen_dead_band_col_pwm.3.i_mot_deadband/Primitives,14,11,0,0,0,0,0,0
gantry_mot_if_0/pwm_0/i_brk_pwm/Primitives,20,10,0,0,0,0,0,0
gantry_mot_if_0/pwm_0/i_mot_filt/Primitives,41,30,0,0,0,0,0,0
gantry_mot_if_0/pwm_0/i_mot_pwm_simple/Primitives,87,54,0,0,0,0,0,0
gpio_0/Primitives,443,430,0,0,0,0,0,0
lift_mot_if_0/Primitives,302,278,0,0,0,0,0,0
lift_mot_if_0/clk_16khz_div/Primitives,24,17,0,0,0,0,0,1
lift_mot_if_0/pwm_0/gen_dead_band_col_pwm.1.i_mot_deadband/Primitives,14,11,0,0,0,0,0,0
lift_mot_if_0/pwm_0/gen_dead_band_col_pwm.2.i_mot_deadband/Primitives,14,11,0,0,0,0,0,0
lift_mot_if_0/pwm_0/gen_dead_band_col_pwm.3.i_mot_deadband/Primitives,14,11,0,0,0,0,0,0
lift_mot_if_0/pwm_0/i_brk_pwm/Primitives,19,10,0,0,0,0,0,0
lift_mot_if_0/pwm_0/i_mot_filt/Primitives,41,30,0,0,0,0,0,0
lift_mot_if_0/pwm_0/i_mot_pwm_simple/Primitives,90,54,0,0,0,0,0,0
mssb_if_0/Primitives,246,169,0,0,0,0,0,0
mssb_if_0/cmn_uart_inst/Primitives,59,47,0,0,0,0,0,0
mssb_if_1/Primitives,222,169,0,0,0,0,0,0
mssb_if_1/cmn_uart_inst/Primitives,54,47,0,0,0,0,0,0
osc_counter_0/Primitives,50,51,0,0,0,0,0,0
osc_counter_0/opb_fifo_inst/Primitives,16,24,0,0,0,0,0,0
scratch_pad_0/Primitives,37,96,0,0,0,0,0,0
